method,scheme,u1_initial,u2_initial,initial_exact_domain,map_converged,lower_capture,nonlinear_updates,lower_max_error,physical_residual_inf,status
exact,picard,0.36666666666666664,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.803490855602831e-11,map_converged
exact,picard,0.4,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.8572034455341964e-11,map_converged
exact,picard,0.43333333333333335,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.911382329135904e-11,map_converged
exact,picard,0.4666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.966049710868447e-11,map_converged
exact,picard,0.5,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.021227795192317e-11,map_converged
exact,picard,0.5333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.0769387865680073e-11,map_converged
exact,picard,0.5666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.133182684995518e-11,map_converged
exact,picard,0.6,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.189981694935341e-11,map_converged
exact,picard,0.6333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.2473358163874764e-11,map_converged
exact,picard,0.6666666666666666,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.3052894582729095e-11,map_converged
exact,picard,0.7,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.363864825052133e-11,map_converged
exact,picard,0.7333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.423017507804161e-11,map_converged
exact,picard,0.7666666666666666,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.4828363243709646e-11,map_converged
exact,picard,0.8,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.543321274752543e-11,map_converged
exact,picard,0.8333333333333334,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.604450154488404e-11,map_converged
exact,picard,0.8666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.6662895769600254e-11,map_converged
exact,picard,0.9,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.728861746627899e-11,map_converged
exact,picard,0.9333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.792166663492026e-11,map_converged
exact,picard,0.9666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.85624873647339e-11,map_converged
exact,picard,1.0,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.921130170032484e-11,map_converged
exact,picard,1.0333333333333332,0.06666666666666667,True,True,True,27,9.886047536156184e-11,4.9868331686298006e-11,map_converged
exact,picard,1.0666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.053402141186325e-11,map_converged
exact,picard,1.1,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.120837087702057e-11,map_converged
exact,picard,1.1333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.189204621558474e-11,map_converged
exact,picard,1.1666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.2585047427555764e-11,map_converged
exact,picard,1.2,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.3288040646748414e-11,map_converged
exact,picard,1.2333333333333334,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.400146996237254e-11,map_converged
exact,picard,1.2666666666666666,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.472533537442814e-11,map_converged
exact,picard,1.3,0.06666666666666667,True,True,True,27,9.886047536156184e-11,5.5460747105939845e-11,map_converged
