model,deficit_lower,deficit_upper,deficit_median,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
mse,0.0001,0.00031622776601683794,0.00017371794170117916,361,5.58414845618458e-06,3.118271398070863e-11,1.0227283998798239e-05,1.1027093683058098e-05,1.0012352627781464e-07,1.9984940669015572e-07,2.224967250618102e-08
mse,0.00031622776601683794,0.001,0.0005575860395878873,373,2.920185595286506e-06,8.527483910918804e-12,6.277317330258822e-06,6.5617909523751905e-06,9.71654082067708e-08,2.6483952031419733e-07,2.1592312934837947e-08
mse,0.001,0.0031622776601683794,0.0017687156880324961,374,2.637171155147722e-06,6.9546717015431705e-12,6.859183145433426e-06,9.206126559746508e-06,1.5719737578699923e-07,6.252396388406467e-07,3.493275017488866e-08
mse,0.0031622776601683794,0.01,0.005661078524180407,420,2.3405226784498954e-06,5.478046408338273e-12,6.249399436182302e-06,8.23424335588685e-06,2.473478109851789e-07,9.716578063256875e-07,5.496618021892841e-08
mse,0.01,0.03162277660168379,0.017846578982297467,466,1.935244383792356e-06,3.745170824999856e-12,4.950462751329711e-06,5.669183191614469e-06,3.4780537700539555e-07,1.1280902705301799e-06,7.72900837789763e-08
mse,0.03162277660168379,0.1,0.060401995552914034,590,1.416091511861693e-06,2.005315169966736e-12,4.016761053506902e-06,1.0362474789360476e-05,4.2593187279665314e-07,2.43898598806247e-06,9.465152728814367e-08
mse,0.1,0.31622776601683794,0.20663173307118948,758,1.435464908117955e-06,2.060559502438089e-12,4.854814206911579e-06,7.125754086345637e-06,7.560443362391159e-07,4.186200206590662e-06,1.6800985249756912e-07
mse,0.31622776601683794,1.0,0.9994832279117276,13636,9.000808693781677e-07,8.101455714205582e-13,2.577522264290976e-06,4.984254621476225e-06,8.556366994130105e-07,4.656955860313228e-06,1.9014148875843704e-07
lambda_0p01,1e-10,3.1622776601683795e-10,1.8001700130554354e-10,4979,0.00018359727175653324,3.370795819644232e-08,0.00019653335146458062,0.0001995446700444603,2.0380644514833826e-08,2.274333388285754e-08,4.5290321144075174e-09
lambda_0p01,3.1622776601683795e-10,1e-09,5.653859602716693e-10,4908,0.00016957446939825846,2.8755500671700898e-08,0.0001847915326971084,0.00018847678748912244,2.0134837266155833e-08,2.2602126281690005e-08,4.474408281367962e-09
